split,accuracy,train_size,preselected_features,final_features
0,0.75,12,229,20
1,0.75,12,229,21
2,1.0,12,229,19
3,1.0,12,229,18
4,0.75,12,229,16
5,0.25,12,229,18
6,1.0,12,229,19
7,1.0,12,229,16
8,0.75,12,229,18
9,0.5,12,229,20
10,0.5,12,229,19
11,1.0,12,229,20
12,0.75,12,229,17
13,0.75,12,229,16
14,0.5,12,229,17
15,0.75,12,229,14
16,1.0,12,229,20
17,0.75,12,229,18
18,0.5,12,229,15
19,1.0,12,229,16
20,0.5,12,229,15
21,0.0,12,229,16
22,0.75,12,229,17
23,0.75,12,229,20
24,0.5,12,229,20
25,1.0,12,229,19
26,0.5,12,229,19
27,0.75,12,229,16
28,0.75,12,229,19
29,0.75,12,229,16
30,0.25,12,229,20
31,0.75,12,229,20
32,0.75,12,229,22
33,1.0,12,229,15
34,0.75,12,229,12
35,0.5,12,229,17
36,0.75,12,229,14
37,0.5,12,229,21
38,0.75,12,229,17
39,0.75,12,229,19
40,0.5,12,229,20
41,0.25,12,229,14
42,1.0,12,229,24
43,1.0,12,229,18
44,0.5,12,229,15
45,1.0,12,229,14
46,0.25,12,229,21
47,1.0,12,229,19
48,1.0,12,229,20
49,0.75,12,229,21
50,0.6666666666666666,13,229,16
51,1.0,13,229,20
52,1.0,13,229,18
53,0.6666666666666666,13,229,18
54,0.6666666666666666,13,229,15
55,1.0,13,229,18
56,1.0,13,229,17
57,0.6666666666666666,13,229,21
58,1.0,13,229,20
59,0.6666666666666666,13,229,19
60,1.0,13,229,22
61,0.3333333333333333,13,229,15
62,0.6666666666666666,13,229,17
63,0.3333333333333333,13,229,13
64,1.0,13,229,16
65,0.6666666666666666,13,229,20
66,1.0,13,229,19
67,0.3333333333333333,13,229,20
68,0.6666666666666666,13,229,17
69,0.3333333333333333,13,229,19
70,0.6666666666666666,13,229,21
71,0.6666666666666666,13,229,19
72,0.6666666666666666,13,229,15
73,0.6666666666666666,13,229,16
74,1.0,13,229,21
75,1.0,13,229,21
76,0.6666666666666666,13,229,17
77,1.0,13,229,14
78,0.3333333333333333,13,229,18
79,1.0,13,229,16
80,0.3333333333333333,13,229,26
81,1.0,13,229,13
82,1.0,13,229,17
83,1.0,13,229,18
84,0.3333333333333333,13,229,21
85,1.0,13,229,22
86,0.3333333333333333,13,229,16
87,0.6666666666666666,13,229,19
88,1.0,13,229,15
89,1.0,13,229,21
90,1.0,13,229,17
91,1.0,13,229,16
92,0.3333333333333333,13,229,21
93,1.0,13,229,23
94,0.3333333333333333,13,229,20
95,1.0,13,229,20
96,1.0,14,229,24
97,1.0,13,229,19
98,0.6666666666666666,13,229,18
99,0.6666666666666666,13,229,16
100,0.3333333333333333,13,229,23
101,1.0,14,229,21
102,1.0,14,229,29
103,1.0,14,229,26
104,1.0,14,229,22
105,0.5,14,229,22
106,0.5,14,229,23
107,0.5,14,229,24
108,0.5,14,229,17
109,0.5,14,229,22
110,1.0,14,229,19
111,0.5,14,229,25
112,1.0,14,229,23
113,0.0,14,229,16
114,0.0,14,229,23
115,1.0,14,229,19
116,1.0,14,229,23
117,1.0,14,229,20
118,0.5,14,229,26
119,1.0,14,229,24
120,1.0,14,229,17
121,1.0,14,229,16
122,0.5,14,229,18
123,0.5,14,229,19
124,1.0,14,229,19
125,1.0,14,229,20
126,0.5,14,229,24
127,1.0,14,229,21
128,0.5,14,229,23
129,1.0,14,229,16
130,1.0,14,229,21
131,1.0,14,229,16
132,0.5,14,229,16
133,1.0,14,229,19
134,1.0,14,229,23
135,0.5,14,229,23
136,0.5,14,229,22
137,0.5,14,229,18
138,0.0,14,229,28
139,0.5,14,229,26
140,0.0,14,229,28
141,0.5,14,229,27
142,1.0,14,229,21
143,1.0,14,229,19
144,1.0,14,229,24
145,1.0,14,229,22
146,1.0,14,229,25
147,0.5,14,229,19
148,1.0,14,229,19
149,1.0,14,229,19
150,1.0,15,229,19
151,0.0,15,229,25
152,1.0,15,229,25
153,0.0,15,229,25
154,0.0,15,229,19
155,1.0,15,229,22
156,1.0,15,229,30
157,1.0,15,229,21
158,1.0,15,229,20
159,1.0,15,229,17
160,1.0,15,229,19
161,1.0,15,229,25
162,1.0,15,229,20
163,1.0,15,229,19
164,1.0,15,229,21
165,1.0,15,229,19
166,1.0,15,229,19
167,1.0,15,229,25
168,1.0,15,229,22
169,1.0,15,229,17
170,1.0,15,229,20
171,1.0,15,229,19
172,1.0,15,229,19
173,1.0,15,229,19
174,1.0,15,229,21
175,0.0,15,229,25
176,1.0,15,229,23
177,1.0,15,229,19
178,1.0,15,229,23
179,1.0,15,229,23
180,1.0,15,229,25
181,1.0,15,229,17
182,1.0,15,229,20
183,1.0,15,229,17
184,0.0,15,229,25
185,0.0,15,229,19
186,1.0,15,229,19
187,1.0,15,229,19
188,0.0,15,229,25
189,0.0,15,229,19
190,1.0,15,229,25
191,1.0,15,229,23
192,1.0,15,229,30
193,1.0,15,229,25
194,1.0,15,229,23
195,0.0,15,229,25
196,1.0,15,229,23
197,1.0,15,229,20
198,1.0,15,229,21
199,1.0,15,229,23
