split,accuracy,train_size,preselected_features,final_features
0,1.0,12,229,20
1,0.75,12,229,21
2,1.0,12,229,18
3,1.0,12,229,19
4,0.75,12,229,18
5,0.75,12,229,16
6,1.0,12,229,19
7,1.0,12,229,16
8,1.0,12,229,20
9,1.0,12,229,18
10,0.25,12,229,19
11,0.75,12,229,20
12,0.75,12,229,17
13,1.0,12,229,16
14,1.0,12,229,17
15,1.0,12,229,14
16,0.75,12,229,20
17,0.75,12,229,18
18,0.5,12,229,15
19,1.0,12,229,16
20,0.75,12,229,17
21,1.0,12,229,15
22,0.0,12,229,16
23,0.75,12,229,19
24,0.75,12,229,20
25,1.0,12,229,20
26,0.75,12,229,19
27,0.5,12,229,19
28,0.75,12,229,16
29,1.0,12,229,16
30,0.25,12,229,20
31,0.75,12,229,20
32,0.5,12,229,22
33,1.0,12,229,15
34,0.75,12,229,17
35,0.75,12,229,12
36,0.5,12,229,17
37,1.0,12,229,21
38,0.75,12,229,14
39,0.75,12,229,20
40,0.75,12,229,19
41,0.5,12,229,14
42,0.75,12,229,24
43,0.75,12,229,18
44,0.5,12,229,15
45,0.75,12,229,21
46,1.0,12,229,19
47,1.0,12,229,14
48,0.75,12,229,20
49,1.0,12,229,21
50,1.0,13,229,20
51,1.0,13,229,15
52,1.0,13,229,18
53,0.6666666666666666,13,229,18
54,0.6666666666666666,13,229,16
55,1.0,13,229,17
56,1.0,13,229,18
57,1.0,13,229,21
58,1.0,13,229,20
59,1.0,13,229,22
60,1.0,13,229,19
61,0.3333333333333333,13,229,13
62,0.6666666666666666,13,229,15
63,0.6666666666666666,13,229,17
64,1.0,13,229,16
65,0.6666666666666666,13,229,20
66,1.0,13,229,19
67,0.3333333333333333,13,229,20
68,1.0,13,229,17
69,0.3333333333333333,13,229,19
70,0.3333333333333333,13,229,21
71,0.6666666666666666,13,229,15
72,0.6666666666666666,13,229,19
73,1.0,13,229,21
74,1.0,13,229,16
75,1.0,13,229,21
76,1.0,13,229,17
77,1.0,13,229,14
78,0.6666666666666666,13,229,18
79,1.0,13,229,16
80,1.0,13,229,26
81,1.0,13,229,13
82,1.0,13,229,17
83,1.0,13,229,18
84,0.6666666666666666,13,229,21
85,0.6666666666666666,13,229,16
86,0.6666666666666666,13,229,22
87,1.0,13,229,15
88,1.0,13,229,19
89,1.0,13,229,21
90,1.0,13,229,17
91,1.0,13,229,16
92,0.3333333333333333,13,229,21
93,1.0,13,229,23
94,1.0,13,229,20
95,0.3333333333333333,13,229,20
96,1.0,13,229,19
97,0.6666666666666666,13,229,18
98,1.0,14,229,24
99,0.3333333333333333,13,229,16
100,1.0,14,229,26
101,0.0,13,229,23
102,1.0,14,229,21
103,1.0,14,229,29
104,1.0,14,229,22
105,1.0,14,229,22
106,1.0,14,229,23
107,0.5,14,229,17
108,0.5,14,229,24
109,1.0,14,229,22
110,0.5,14,229,25
111,1.0,14,229,19
112,0.0,14,229,16
113,0.5,14,229,23
114,1.0,14,229,23
115,1.0,14,229,19
116,0.5,14,229,23
117,1.0,14,229,20
118,1.0,14,229,24
119,1.0,14,229,17
120,1.0,14,229,26
121,1.0,14,229,16
122,1.0,14,229,19
123,1.0,14,229,18
124,1.0,14,229,19
125,1.0,14,229,23
126,0.5,14,229,24
127,1.0,14,229,21
128,1.0,14,229,20
129,1.0,14,229,16
130,1.0,14,229,21
131,1.0,14,229,16
132,0.5,14,229,16
133,1.0,14,229,19
134,1.0,14,229,23
135,1.0,14,229,23
136,1.0,14,229,22
137,0.5,14,229,18
138,1.0,14,229,26
139,0.0,14,229,28
140,0.0,14,229,28
141,1.0,14,229,27
142,0.5,14,229,21
143,1.0,14,229,24
144,1.0,14,229,19
145,1.0,14,229,22
146,1.0,14,229,25
147,1.0,14,229,19
148,1.0,14,229,19
149,1.0,14,229,19
150,1.0,15,229,19
151,0.0,15,229,25
152,1.0,15,229,25
153,1.0,15,229,25
154,1.0,15,229,19
155,1.0,15,229,22
156,1.0,15,229,30
157,1.0,15,229,21
158,1.0,15,229,20
159,1.0,15,229,19
160,1.0,15,229,17
161,1.0,15,229,20
162,1.0,15,229,25
163,0.0,15,229,19
164,0.0,15,229,19
165,1.0,15,229,19
166,1.0,15,229,21
167,1.0,15,229,25
168,1.0,15,229,22
169,1.0,15,229,17
170,1.0,15,229,20
171,1.0,15,229,19
172,1.0,15,229,19
173,1.0,15,229,21
174,0.0,15,229,19
175,1.0,15,229,23
176,1.0,15,229,19
177,0.0,15,229,25
178,1.0,15,229,23
179,1.0,15,229,23
180,1.0,15,229,25
181,1.0,15,229,17
182,1.0,15,229,20
183,1.0,15,229,17
184,1.0,15,229,25
185,1.0,15,229,19
186,1.0,15,229,19
187,1.0,15,229,19
188,0.0,15,229,25
189,1.0,15,229,25
190,1.0,15,229,19
191,1.0,15,229,30
192,1.0,15,229,25
193,1.0,15,229,23
194,1.0,15,229,23
195,1.0,15,229,25
196,1.0,15,229,23
197,1.0,15,229,21
198,1.0,15,229,20
199,1.0,15,229,23
