split,accuracy,train_size,preselected_features,final_features
0,1.0,12,229,20
1,0.75,12,229,21
2,1.0,12,229,18
3,1.0,12,229,19
4,0.75,12,229,18
5,0.75,12,229,16
6,1.0,12,229,19
7,1.0,12,229,16
8,1.0,12,229,20
9,0.5,12,229,19
10,1.0,12,229,18
11,0.75,12,229,20
12,0.75,12,229,17
13,1.0,12,229,16
14,1.0,12,229,17
15,0.75,12,229,18
16,1.0,12,229,14
17,0.75,12,229,20
18,0.75,12,229,15
19,1.0,12,229,16
20,1.0,12,229,15
21,0.5,12,229,20
22,0.0,12,229,16
23,0.75,12,229,19
24,0.75,12,229,17
25,1.0,12,229,20
26,0.5,12,229,19
27,0.5,12,229,19
28,0.75,12,229,16
29,0.75,12,229,16
30,0.25,12,229,20
31,1.0,12,229,20
32,0.5,12,229,22
33,1.0,12,229,15
34,0.75,12,229,12
35,0.75,12,229,17
36,0.75,12,229,14
37,1.0,12,229,21
38,0.5,12,229,17
39,0.5,12,229,19
40,0.75,12,229,20
41,0.75,12,229,24
42,0.75,12,229,14
43,0.75,12,229,18
44,0.5,12,229,15
45,1.0,12,229,21
46,1.0,12,229,14
47,1.0,12,229,19
48,0.75,12,229,20
49,1.0,12,229,21
50,1.0,13,229,16
51,0.6666666666666666,13,229,18
52,1.0,13,229,20
53,1.0,13,229,18
54,1.0,13,229,15
55,1.0,13,229,17
56,1.0,13,229,18
57,1.0,13,229,21
58,1.0,13,229,20
59,1.0,13,229,19
60,1.0,13,229,22
61,0.6666666666666666,13,229,15
62,0.3333333333333333,13,229,13
63,1.0,13,229,16
64,1.0,13,229,17
65,0.3333333333333333,13,229,20
66,1.0,13,229,19
67,0.3333333333333333,13,229,20
68,1.0,13,229,17
69,0.3333333333333333,13,229,19
70,0.3333333333333333,13,229,21
71,0.6666666666666666,13,229,19
72,1.0,13,229,21
73,1.0,13,229,16
74,1.0,13,229,21
75,0.6666666666666666,13,229,15
76,1.0,13,229,17
77,1.0,13,229,14
78,0.6666666666666666,13,229,18
79,1.0,13,229,16
80,1.0,13,229,26
81,1.0,13,229,17
82,1.0,13,229,13
83,1.0,13,229,18
84,0.6666666666666666,13,229,16
85,0.6666666666666666,13,229,21
86,0.6666666666666666,13,229,22
87,1.0,13,229,19
88,1.0,13,229,15
89,1.0,13,229,21
90,1.0,13,229,17
91,1.0,13,229,16
92,0.3333333333333333,13,229,21
93,1.0,13,229,23
94,0.3333333333333333,13,229,20
95,1.0,13,229,20
96,1.0,13,229,19
97,1.0,14,229,24
98,0.6666666666666666,13,229,18
99,0.3333333333333333,13,229,16
100,0.0,13,229,23
101,1.0,14,229,26
102,1.0,14,229,21
103,1.0,14,229,29
104,1.0,14,229,22
105,1.0,14,229,22
106,1.0,14,229,23
107,0.5,14,229,17
108,0.5,14,229,24
109,1.0,14,229,19
110,1.0,14,229,22
111,0.5,14,229,25
112,1.0,14,229,23
113,0.0,14,229,16
114,0.5,14,229,23
115,0.5,14,229,23
116,1.0,14,229,19
117,1.0,14,229,20
118,1.0,14,229,24
119,1.0,14,229,26
120,1.0,14,229,17
121,1.0,14,229,16
122,1.0,14,229,19
123,1.0,14,229,18
124,1.0,14,229,19
125,0.5,14,229,24
126,1.0,14,229,21
127,1.0,14,229,20
128,1.0,14,229,23
129,1.0,14,229,16
130,1.0,14,229,21
131,1.0,14,229,16
132,0.5,14,229,16
133,1.0,14,229,19
134,1.0,14,229,23
135,1.0,14,229,23
136,0.0,14,229,28
137,0.5,14,229,18
138,1.0,14,229,22
139,1.0,14,229,26
140,0.0,14,229,28
141,1.0,14,229,27
142,0.5,14,229,21
143,1.0,14,229,19
144,1.0,14,229,24
145,1.0,14,229,22
146,1.0,14,229,25
147,1.0,14,229,19
148,1.0,14,229,19
149,1.0,14,229,19
150,1.0,15,229,19
151,0.0,15,229,25
152,1.0,15,229,25
153,1.0,15,229,25
154,1.0,15,229,19
155,1.0,15,229,22
156,1.0,15,229,30
157,1.0,15,229,21
158,1.0,15,229,20
159,1.0,15,229,17
160,1.0,15,229,19
161,1.0,15,229,20
162,1.0,15,229,25
163,0.0,15,229,19
164,1.0,15,229,19
165,0.0,15,229,19
166,1.0,15,229,21
167,1.0,15,229,22
168,1.0,15,229,25
169,1.0,15,229,17
170,1.0,15,229,20
171,1.0,15,229,19
172,1.0,15,229,19
173,0.0,15,229,19
174,1.0,15,229,21
175,0.0,15,229,25
176,1.0,15,229,23
177,1.0,15,229,19
178,1.0,15,229,23
179,1.0,15,229,23
180,1.0,15,229,17
181,1.0,15,229,25
182,1.0,15,229,20
183,1.0,15,229,17
184,1.0,15,229,25
185,1.0,15,229,19
186,1.0,15,229,19
187,1.0,15,229,19
188,0.0,15,229,25
189,1.0,15,229,25
190,1.0,15,229,19
191,1.0,15,229,23
192,1.0,15,229,30
193,1.0,15,229,25
194,1.0,15,229,23
195,1.0,15,229,25
196,1.0,15,229,23
197,1.0,15,229,21
198,1.0,15,229,23
199,1.0,15,229,20
