split,accuracy,train_size,preselected_features,final_features
0,1.0,12,229,20
1,1.0,12,229,21
2,1.0,12,229,18
3,1.0,12,229,19
4,1.0,12,229,18
5,1.0,12,229,16
6,0.5,12,229,19
7,1.0,12,229,16
8,1.0,12,229,20
9,1.0,12,229,18
10,0.75,12,229,19
11,0.5,12,229,20
12,1.0,12,229,17
13,1.0,12,229,16
14,1.0,12,229,17
15,1.0,12,229,14
16,0.5,12,229,20
17,0.75,12,229,18
18,0.75,12,229,15
19,1.0,12,229,16
20,0.25,12,229,16
21,0.75,12,229,15
22,0.5,12,229,17
23,1.0,12,229,20
24,1.0,12,229,19
25,1.0,12,229,20
26,0.75,12,229,19
27,1.0,12,229,19
28,1.0,12,229,16
29,0.5,12,229,16
30,1.0,12,229,20
31,0.75,12,229,20
32,1.0,12,229,22
33,0.75,12,229,15
34,1.0,12,229,12
35,0.75,12,229,17
36,0.75,12,229,14
37,1.0,12,229,21
38,0.5,12,229,17
39,0.75,12,229,19
40,1.0,12,229,20
41,0.5,12,229,14
42,1.0,12,229,24
43,1.0,12,229,18
44,0.75,12,229,15
45,1.0,12,229,14
46,0.5,12,229,21
47,1.0,12,229,19
48,0.5,12,229,20
49,1.0,12,229,21
50,1.0,13,229,16
51,0.6666666666666666,13,229,20
52,1.0,13,229,18
53,1.0,13,229,18
54,1.0,13,229,15
55,1.0,13,229,18
56,0.6666666666666666,13,229,17
57,1.0,13,229,20
58,1.0,13,229,21
59,1.0,13,229,19
60,0.6666666666666666,13,229,22
61,1.0,13,229,17
62,1.0,13,229,15
63,0.6666666666666666,13,229,16
64,0.6666666666666666,13,229,13
65,0.6666666666666666,13,229,20
66,0.3333333333333333,13,229,20
67,1.0,13,229,19
68,1.0,13,229,17
69,0.3333333333333333,13,229,19
70,0.3333333333333333,13,229,21
71,1.0,13,229,15
72,1.0,13,229,16
73,1.0,13,229,19
74,1.0,13,229,21
75,1.0,13,229,21
76,0.6666666666666666,13,229,17
77,1.0,13,229,14
78,1.0,13,229,18
79,1.0,13,229,16
80,1.0,13,229,13
81,1.0,13,229,26
82,1.0,13,229,17
83,1.0,13,229,18
84,1.0,13,229,21
85,0.3333333333333333,13,229,22
86,1.0,13,229,16
87,1.0,13,229,15
88,1.0,13,229,19
89,0.6666666666666666,13,229,21
90,1.0,13,229,17
91,1.0,13,229,16
92,0.6666666666666666,13,229,21
93,1.0,13,229,23
94,0.3333333333333333,13,229,20
95,1.0,13,229,20
96,1.0,14,229,24
97,0.6666666666666666,13,229,19
98,1.0,13,229,18
99,0.3333333333333333,13,229,16
100,0.6666666666666666,13,229,23
101,1.0,14,229,21
102,1.0,14,229,26
103,1.0,14,229,29
104,1.0,14,229,22
105,1.0,14,229,22
106,0.5,14,229,23
107,1.0,14,229,17
108,1.0,14,229,24
109,0.5,14,229,22
110,1.0,14,229,19
111,1.0,14,229,25
112,0.5,14,229,16
113,1.0,14,229,23
114,1.0,14,229,23
115,1.0,14,229,19
116,1.0,14,229,23
117,1.0,14,229,20
118,1.0,14,229,26
119,1.0,14,229,24
120,1.0,14,229,17
121,1.0,14,229,16
122,1.0,14,229,18
123,1.0,14,229,19
124,1.0,14,229,19
125,1.0,14,229,23
126,1.0,14,229,24
127,1.0,14,229,20
128,1.0,14,229,21
129,1.0,14,229,16
130,1.0,14,229,21
131,1.0,14,229,16
132,1.0,14,229,16
133,1.0,14,229,19
134,1.0,14,229,23
135,1.0,14,229,23
136,1.0,14,229,18
137,0.5,14,229,22
138,1.0,14,229,26
139,0.0,14,229,28
140,0.0,14,229,28
141,1.0,14,229,27
142,1.0,14,229,21
143,1.0,14,229,19
144,1.0,14,229,24
145,1.0,14,229,22
146,1.0,14,229,25
147,1.0,14,229,19
148,1.0,14,229,19
149,1.0,14,229,19
150,1.0,15,229,19
151,1.0,15,229,25
152,0.0,15,229,25
153,1.0,15,229,25
154,1.0,15,229,19
155,1.0,15,229,22
156,0.0,15,229,30
157,1.0,15,229,21
158,1.0,15,229,20
159,1.0,15,229,19
160,1.0,15,229,17
161,1.0,15,229,20
162,1.0,15,229,25
163,1.0,15,229,19
164,1.0,15,229,19
165,1.0,15,229,19
166,1.0,15,229,21
167,1.0,15,229,22
168,1.0,15,229,25
169,1.0,15,229,17
170,1.0,15,229,20
171,1.0,15,229,19
172,1.0,15,229,19
173,1.0,15,229,19
174,1.0,15,229,21
175,1.0,15,229,23
176,1.0,15,229,25
177,1.0,15,229,23
178,1.0,15,229,19
179,1.0,15,229,23
180,1.0,15,229,25
181,1.0,15,229,17
182,1.0,15,229,20
183,1.0,15,229,17
184,1.0,15,229,25
185,1.0,15,229,19
186,1.0,15,229,19
187,1.0,15,229,19
188,1.0,15,229,25
189,0.0,15,229,25
190,1.0,15,229,19
191,1.0,15,229,23
192,0.0,15,229,30
193,0.0,15,229,25
194,1.0,15,229,23
195,1.0,15,229,25
196,1.0,15,229,23
197,1.0,15,229,20
198,1.0,15,229,23
199,1.0,15,229,21
